algo,position_rmse_m,position_cep50_m,position_r95_m,position_max_m,velocity_rmse_mps,velocity_cep50_mps,velocity_r95_mps,velocity_max_mps,attitude_rmse_deg,attitude_cep50_deg,attitude_r95_deg,attitude_max_deg,algo_label,algo_index,data_round
algo0_0,8.552332853869755,6.666062130034481,15.691384365497273,28.345725850335274,0.15324821391311375,0.12417804979399133,0.3145700029977061,0.44722663863866174,3.76612912304767,0.4762684838018822,9.031217268995325,19.988576136488128,MCKF,0,0
algo0_1,6.397289613601461,3.442974367500196,11.398940344803528,19.54194030405154,0.2961511647582067,0.1654075878202696,0.57411836602235,1.073478733809666,1.6910587578086913,0.5096642776180356,4.30716026978472,7.048553134892958,MCKF,0,1
algo0_2,8.957815947244912,4.829801287474454,17.354729867221508,25.134632232859317,0.2443483980062199,0.09316886458891013,0.5635144400652794,0.8515478655362111,5.021273914413616,0.41719457219057043,14.658106118083925,16.278930450869424,MCKF,0,2
algo0_3,6.170949952743808,4.373853945193022,12.406160800222326,20.375070583490835,0.24487579183568284,0.1663277512883639,0.4689027473682339,1.2088365271343608,14.415487331439252,0.6746618878334811,40.08552732904627,49.87492419701771,MCKF,0,3
algo0_4,4.945881659213427,3.588374466874208,8.764397836671973,16.384605467101448,0.2948354588735375,0.17380198342605258,0.5244662806588668,1.3314579122533745,2.9816673860134375,0.22644942369702498,7.722156947953523,12.733306007740314,MCKF,0,4
algo1_0,6.63605275188327,4.737472808351753,10.495089912397358,12.52421278354795,0.4169961096459071,0.08039635907827172,0.604944372046956,4.660981361449466,28.86352791183556,0.6568859623035597,86.33968721634581,91.25333569041275,EKF,1,0
algo1_1,4.405914346232122,1.8279497417195212,6.194180659433565,18.518184294886666,0.19078788003856262,0.0691407859382269,0.2852285837806749,2.1970540021649345,23.127360232420088,0.43579515697878757,61.65164655350247,72.18151514481312,EKF,1,1
algo1_2,5.973910379081659,2.395589382465996,8.575056434482585,31.987649455192678,1.2534930934421156,0.17005401874412496,1.987121549686509,11.358073591007548,49.33982370778493,2.8269870432527577,132.46277379310317,144.34146220922898,EKF,1,2
algo1_3,4.436972434630078,2.5696091312434577,4.248604864893219,8.427870410126733,0.10618918458910104,0.04699433651951872,0.17856399671874917,0.7718356071759362,2.233865165553159,0.15640639359371755,4.787087546192249,16.754038595557862,EKF,1,3
algo1_4,3.184035977840099,2.0183348504450715,3.62681291333267,13.962143026081105,0.17709905922688926,0.0646735472394859,0.30498739990752194,1.4758797691975027,11.172233195449012,0.19748214913824125,29.475462281332497,31.684146520891076,EKF,1,4
